HAFN ALVE      1641-82 00100001011011110010000000111110000010000010101
HAFN ALVE      4653-86 01100101111011110010100010111100010010100010101
HAFN ALVE      4256-83 00110001011010111010000011111010000010000010101
HAFN ALVE      0101-79 01000101110011110010100010111110000010000010101
HAFN ALVE      1963-80 01100101111011110110000010111100000010110010101
HAFN ALVE      9015-81 01110101011011110110100010111100010010000010101
HAFN ALVE      0842-81 00110101011011110010100010111100010010100010101
KOSE TRAB      3025-86 01010001111010110010100010111110001000000010101
HAFN ALVE      4094-83 01110001111000110010000010111110000010000010101
HAFN ALVE      1559-82 00100001111010110010000010111110000010000010101
HAFN ALVE      2355-78 01110001010011110010000010111110000010000010101
HAFN ALVE      0418-80 01110001010011110010000010111110000010010010101
KOSE TRAB      3379-85 01010001111010111010100010111110010000000010101
HAFN ALVE      9016-75 00110001011011111010000010111100000010100010101
KOSE TRAB      3466-85 01010001111010110010100010111110011000000010101
KOSE TRAB      3378-85 01010001111010110010100010111110011000000010101
HAFN ALVE      0841-81 01110101011011111010100011111100010010100010111
KOSE TRAB      2511-87 01010001111010110010100010111110001000010010101
HAFN ALVE      4039-85 01010001110011110010100010111110000010100010101
HAFN ALVE      4598-84 01110001011011110110000010111110001010000010101
HAFN ALVE      0657-78 00110101111010110010000010111110010010110010101
HAFN ALVE      0363-82 01100001011011110010000000111110000010100010101
HAFN ALVE      0662-78 00110001011011110010000000111110000010000010101
HAFN ALVE      1062-78 00110001011011110010000010111100000010110010101
HAFN ALVE      4602-84 00110001010010110010000000111000000010100010101
HAFN ALVE      4516-84 00110001010010110010000000111000000010100010101
HAFN ALVE      2353-81 00110001010010110010000000111000000010100010101
HAFN ALVE      0989-82 01100101010011110110000010111110000010000011101
HAFN ALVE      0938-81 01100001011011110110000010111110000010100010101
HAFN ALVE      1962-80 01100001011011110110000010111100000010100010101
HAFN ALVE      2254-80 01100001011011110010000010111100000010100010101
HAFN ALVE      6331-50 01100001011011110010100010111100010010100010101
HAFN ALVE      4113-87 01110001011011110010100010111100010010100010101
HAFN ALVE      0895-79 01110001011011110010100010111100010010100010101
HAFN ALVE      4064-87 01100001011011110010000010111110000010100010101
HAFN ALVE      0922-78 00100001011011110010000010111100000010110010101
HAFN ALVE      1694-77 01110001011001110110100010111100010010000010101
HAFN ALVE      3120-78 00110001011010111110000011111110000010100010101
HAFN ALVE      1848-79 00110001011010111110000011111110000010110010101
HAFN ALVE      0473-82 00100001001011110010000010111100000010100010101
HAFN ALVE      4108-87 01010001111011110010100010111110010010100010101
HAFN ALVE      2683-81 01110001110011110110100000111110000010000010101
HAFN ALVE      0896-79 01110001011011110010100010111110010010100010101
HAFN ALVE      4740-84 00110001111011111010000010111110000010100010101
HAFN ALVE      4010-87 00100001111010110010000010111110000010100010101
HAFN ALVE      0030-79 01100001111010110010000010111110010010100010101
HAFN ALVE      4796-86 01100001111010110010000010111100000010100010101
HAFN ALVE      0409-79 01000001010011110010000010111110000010100010101
HAFN ALVE      0562-81 01110001011011110010000010111100000010100010111
HAFN ALVE      1931-80 01110101011011110010000010011110000010100010111
HAFN ALVE      0508-79 01110001011011110010000010111110000010100010111
HAFN ALVE      0748-75 00110001011010110010000010111110010010010110101
HAFN ALVE      1967-82 00110001011010110010000010111110000010100010101
HAFN ALVE      1364-78 01100001011011110010100010111110000010110010111
HAFN ALVE      0510-78 00110001011011111010000010111100000010110010101
HAFN ALVE      0708-80 00110001111010110010000010111110010010110010101
HAFN ALVE      0410-79 00100001011011110010000010111100000010100010111
HAFN ALVE      0300-82 00100001111010110110000010111110010010110010101
HAFN ALVE      2042-80 00110001010010110110000010111110010010010010101
KOSE TRAB      1393-84 01010001111010110010100010111110010000000010111
KOSE TRAB      2541-87 01010001111010110010100010111110001000000010111
KOSE TRAB      0329-73 01010001111010110110100010111110010000010010101
HAFN ALVE      2628-81 01010001111011110010000010011100000010100010101
HAFN ALVE      3469-74 01100001010011110010000010111110001010100010001
HAFN ALVE      2627-81 01010001111011110010000010111100000010100010111
HAFN ALVE      4066-87 01100001110010110010000000111000000010100010101
HAFN ALVE      4525-86 01110001110010110010000000111000000010100010101
HAFN ALVE      0300-79 01010001010010110010000000111110000010110010101
HAFN ALVE      1409-80 01110001011011110010000010111100000010000010001
HAFN ALVE      1042-82 01100001010010100010000000111000000010000010101
HAFN ALVE      0374-82 00100001010010110010000000011000000010110010111
