Vibrio harveyi                   0124 PmH 293 SK              001111010001010111000111000000010011100000101000000101011001100011111111000001011100011100001111
Vibrio harveyi                   0125 PmH 593 STC             001111010001010111000111001000010010100000101000000101011001100011111111000001011100011100001111
Vibrio harveyi                   0126 PmH 1793 STC            001110010001010111000111001000010010100000101000001101010001100111111111000001011100011100001111
Vibrio harveyi                   0127 TAI 06                  001111010001010111000111001000010010100000101000000001010001000011111111000001011100011100001111
Vibrio harveyi                   0134 PMH 1193 ST             011111110001010101000111001000110010100000101000000101010001100011111111010001011100011100001011
Vibrio harveyi                   0135 PMH 1493 st             001111010001010111000111001000010011100000101000000101011001100111111111000001011100011100001111
Vibrio harveyi                   0136 PMH 2093 st             001111010001010111000111001000010010100000101000000101011001100011111111000001011100011100001011
Vibrio harveyi                   0137 PMH 2193 sk             001111010001010111000111001000010011100000101000000001011001100011111111000001011100011100001011
Vibrio harveyi                   0170 VIB 393                 011111110001010101000111001001110010100000101000000101010001001001111111000001011100011100001111
Vibrio harveyi                   0171 VIB 394                 011110010001010011000101001000010010000000101000000101000001000101111110000000011100011100001111
Vibrio harveyi                   0187 VIB 379                 001111010001010101000111001000010011100000100000000101000001100011111111000001001100011100001011
Vibrio harveyi                   0194 LMG 11659/VIB 400       011111010001010111000111001000110010000000101000000101000001000000111111000001001100011100001111
Vibrio harveyi                   0195 VIB 402 (ATCC 33843)    011110110001010001000111001000110010000000101000000001000001000000011111000000011100010000000111
Vibrio harveyi                   0201 VIB 392                 011110110001010101000111001001110010000000101000000101000001100011111111010001011100011100001111
Vibrio harveyi                   0205 VIB 396                 011110010001010111000111001000110010100000101000000101000001100111111111000001011100011100001111
Vibrio harveyi                   0206 VIB 351 (ATCC 43516)    011111110001010101000111001000110011111000101000000101010001101111111111110001011100011100001111
Vibrio harveyi                   0207 VIB 397                 011110010001010111000111001000110011100000101000000101010001100000111111000000011100011100001111
Vibrio harveyi                   0228 VIB 573                 011111110001010101000111001001010011100000101000000001010001101011111100000001011100011100001111
Vibrio harveyi                   0230 VIB 571                 011111110001010101000111001001110011100000101000000101010001101011111111010001011100011100001111
Vibrio harveyi                   0233 VIB 572                 011111110001010101000111001001110011100000101000000101010001101011111100010001011100011100001111
Vibrio harveyi                   0234 VIB 570                 011111110001010111000111001001110011100000101000000101010001101011111100010001011100011100001111
Vibrio harveyi                   0235 VIB 574                 011111110001010101000111001001110011111000101000000101010001101011111110010001011100011100001111
Vibrio harveyi                   0241 VIB 568                 011111110001010101000111011001110011111000101000000101010001001111111111010001011100011100001111
Vibrio harveyi                   0243 VIB 584                 011111010001010111000111001000010011100000100000000101010001000001111110000000011100011100001111
Vibrio harveyi                   0244 VIB 585                 011111010001010111000111001000010010000000100000000101000001000011111110000001011100011100001111
Vibrio harveyi                   0250 VIB 561                 011111110001010101000111001001110011110000101000000101010001100001111111000001011100011100001111
Vibrio harveyi                   0254 VIB 560                 011111110001010101000111001001110011010000101000000101000001100101111111010001011100011100001111
