V.  alginolyticus     B496b 011111010000010001000110001000110011110000100000001101010001100111111111111101001100011101101111
V.        VIB 534   VIB 534 001010010001010011000101000000010010000000000000000000000000000000000000000000000000010000000011
V.     penaeicida   VIB 526 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.     vulnificus   VIB 535 001111110001010111010111011000010010100000101000100101000001111101111110000001001100011000001011
V.            sp.   VIB 467 000000110000000001000101000000101000000000101000000000000000000000000000000000000000010000000000
V.     vulnificus   VIB 536 001111110001010111010111011000010011000000101000000001000001100001111110000001001000011100001011
V.salmonicida-lik   VIB 415 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.     vulnificus   VIB 529 001111110001010111000101011000010010000000100000100001000001000001111110000000001000011000001011
V.  alginolyticus   VIB 321 011111010000010001000111001001110011110000100000001101010001110111111111111101001100011101101111
V.     vulnificus   VIB 521 001111110001010111000101001000010010000000101000000001000001000000111110000000001000011100001011
V.  metschnikovii   VIB 431 001111110000010101010111011001110011011000100000000101000001110001111111000001001000011100001111
V.  alginolyticus   VIB 324 011111111101111111111110011001111111110100100100001101010001110111111111111111001100111101101111
V.  alginolyticus   VIB 323 011111110100011011100110011001110011110100100000001101010001110011111111111101001100111101101111
V.  alginolyticus   VIB 325 011110010000010001000110001001110011110100100000001101010001100111111111111101001100011101101111
V.            sp.   VIB 352 001111110000010101010111011101110010000000101000001101000001111000011110000000000000011100001110
V.       albensis   VIB 525 001000010000000001000100000000010000000000000000000000000000000000000000000000000000000000000000
V.       STD3-938   VIB 499 001100010000010001000111000000010010000000000000000000000000000000000000000000000000010000000000
V.      fluvialis   VIB 387 001111111111010111011111011000111010011101101010001101011001111111111111100101001101011100001111
V.           TR36      TR34 001110010000010001000111010000110010000000000000000000000000000000010000000000000000011100000100
V.           TR36       TR4 001000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000
V.           TR36      TR32 001110010000010001000111010000110011000000000000000001000000000000010000000000000000011100001000
V.penaeicida rela       TR7 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
V.           TR36      TR36 001110010000010001000111010000110010000000000000000001000001000000010100000001000000011100001100
V.        harveyi   VIB 573 011111110001010101000111001001010011100000101000000001010001101011111111000001011100011100001111
V.        harveyi   VIB 571 011111110001010111000111001001110011100000101000000101010001101011111111010001011100011100001111
V.        piscium   VIB 590 011110010001010001000111000001110010000000100000000000000000000000000000000000000000010000000011
V.        harveyi   VIB 572 011111110001010111110111001001110011110000101000000101010001101011111101010001011100011100001111
V.        harveyi   VIB 569 011110010001010011000111001000010010000000100000000001000000000001111000000000011000011100001011
V.        harveyi   VIB 570 011111110001011111111111001011110011111001101000000101010001111011111111010001011100011100001111
V.        harveyi   VIB 574 011111110001010101000111001001110011111000101000000101010001101011111111010001011100011100001111
V.  alginolyticus   VIB 564 011111010000010001000111001000110011110000100000001101010001110011111111110101001100011101101111
V.  alginolyticus   VIB 565 011111010000010001000111001000110011110000100000001101010001110111111111111101001100011101101111
V.      fluvialis   VIB 555 001111110110010101010111010001110011111101101110001101011001111111111111100101001101011001001111
V.        VIB 782   VIB 583 000010111000010001000101000000110010000000100010000000000000000000000100000000000000010000000000
V.  alginolyticus   VIB 566 011111010000010001000110011000110011100000100000001101010001100111111111111001001100111101101111
V.        harveyi   VIB 568 011111110001011111000111011001110011111000101000000101010001101111111111010001011100011100001111
V.       FKFO 153   VIB 576 011111010000010101000111001000110010010000100000000101010001000001111100000001001100011100001011
V.        harveyi   VIB 584 011111010001010111000111001000010011100000100000000101010001000011111110000000011100011100001111
V.        harveyi   VIB 585 011111010001010111000111001000010010000000100000000101000001000011111110000001011100011100001111
V.      fluvialis   VIB 554 001111110110010101010111010001110011111101101010001101011001111111111110100101001101011101001111
V.  alginolyticus   VIB 567 011111010101010101000111011001110011100100100000001101010001100111111111111101001100011101101111
V.  metschnikovii   VIB 580 011111010111010111000111011110111011110100101010000101111001111011111111101101001100011101001000
V.parahaemolyticu   VIB 545 011111110101011101000111011001110011000000100000001101010001000011111111110001001100011101101111
V.        harveyi   VIB 561 011111110101011111100111001001110011110000101000000101010001111111111111110001011100011101001111
V.  alginolyticus   VIB 562 011111010001010001000111001001110011111100100100001101010001110111111111111101001100111101001111
V.  alginolyticus   VIB 559 011111010000010001000111011001110011110100100100001111010001110111111111111101011100111101101111
V.  alginolyticus   VIB 563 011111010001010001000111001001110011110000100000001101010001110111111111111001001100011101101111
V.        harveyi   VIB 560 011111110001010101000111001001110011010000101000000101010001111111111111010001011100011100001111
V.         VIB 66   VIB 556 001110010001010001000111000001110010000000100000000001000000000000011111000001001100010100001000
V.       FKFO 153   VIB 557 011110010001010001000111001001110011110000100000000101010001000001111111100001001100010100001111
V.         VIB 66   VIB 247 011110010001010001000111001001110010000000100000000001000000000001111110000000001100010000001011
V.  proteolyticus   VIB 479 001111011001010001000111001001010011111100100100001101010001110111111111111111001100011101001111
V.  alginolyticus   VIB 439 011111010000010001000110001000110011111000100000001101000001100011111111110001001100011101001111
V.  metschnikovii   VIB 435 011111010000010101011111011001111011111000100000000001000001100001111110000001001100011100001111
V.  alginolyticus   VIB 343 111111010101111111111111001001111011110000100000000101010001110011111111110001001100011100101111
V.  alginolyticus   VIB 342 011111010001011001100110011001110011110100100000001101010001110011111111111101001100111101101111
V.  alginolyticus   VIB 339 011111010000010001000110001001110011111000100000001101010001100011111111111001001100011101001111
V.  metschnikovii   VIB 434 001111110000010101100111011000110011111000100000000001000001110001111110000001001000011100001111
V.  alginolyticus   VIB 336 011111010001010101000111001000110011000000100000000101010001010111111111110001001100011100001111
V.  STD3-139-like   VIB 335 011100010000010001000110001000110010000000100000000001000000000001111000000000001000011100001111
V.  metschnikovii   VIB 433 011111010000010001000111011001110011011000100000000101000001100001111110000001001000011100001101
V.  alginolyticus   VIB 338 011111010000010101000111001001110011100100100000000101010001110111111111110101001100011100001111
V.  alginolyticus   VIB 341 011111010000010101000111001000110011100000100000000101010001100011111100110001001100011100001011
V.        harveyi   VIB 410 011111110001010101000111011000110011100000101000001101000001100011111111000001011100011100000111
V.  alginolyticus   VIB 322 011111010000010001000111001001110011110100100000000101010001110111111111111101001100111101101111
V.     vulnificus   VIB 522 001101110001010111000101010000010011000000100000101100000001001000011110000000000000011000001011
V.     vulnificus   VIB 523 001111110001010111000101000000010010000000101000000001000000001000111110000000000000011100001011
V.     campbellii   VIB 345 011111010000010101000111001000110011111100100000001101010001000111111111110001001100011101001100
V.     orientalis   VIB 440 001100010000000001000000000000010010000000000000000000000000000000000000000000000000010000000000
V.            sp.   VIB 444 000000000100000001000000001000010010000000000000000000000000000000000000000000000000000000000000
V.       STD3-938   VIB 441 001111010000010001000111001001010010000000100000000101000001000000000000000000000000011100000000
V.  alginolyticus   VIB 330 011111010001011001110111001001111011110100100000001101010001110111111111111111011100111101001111
V.  alginolyticus LMG 11213 011111010001010101000111001000110011100000100000000101010001100011111111110001001100011100001111
V.        harveyi   VIB 473 001111010001010101000111000000110010000000101000000101000001000001111111000001001100011100001011
V.        VIB 472   VIB 472 011110010001010101000111000000110010000000100000000001000001000000110110000001000100011100001011
V.   mediterranei   VIB 429 001111110001011101010111011001111011100000001000001001010101101011111111100001001100011101001011
V.   mediterranei   VIB 427 001111110001011111010111011001111011100000101000000101010101101111111111100101001100011101001011
V.        VIB 579   MSC 275 011110010001010011000111001000110011100000100000000101000000001010111111100001000100010000001011
