INCO 404                         0027                          1000010110000001001100001001001100000000100010000001011000001000001000000011000111100111111000100001110001111001111000000000011000000000110010011001101110110111001010111101111111110011101101111001100000001111001100000001111000110001110101000001101100001100001111010111000000010011101011000111110111010001001110110000000
INCO 377                         0028                          1000110110000001001100010001001100000001100100000011011000011100011000000011000111100111111000100001110001111011110000000000011000000000110010011000101110101111001010111101111111110011101101111011000000001111001100000001111000110001110101000001101100001100001111010111000000011011011011000111110111100000001100110000000
INCO 383                         0029                          1000011101000001011000001001001100000001100010000011010000001100011000000011000111100111111000100001110001111001111011000000011000000000110010011001111110101111101010111101111111110011101101110011100000001111001100000001111000110001100101000001101100001100001111010111000000010011101011000110110101100001001101010000000
INCO 385                         0030                          1000011101000011001000001001000100000000100010000001011000001000001000000011000111100111111000100001110001111001110011000000011000000000110010011001111110101111101010111101111111110011101101111001100000001111010100000001111000110001110101000101101100001100001111010111000000010011111011000110110101100001001111111000000
INCO 400                         0031                          0000010111000001000100001001001100000001100010000001011000001000011000000011000111100110111100110001110001111011110000000000001100000000110010011000101100111101101010111101111111110011101101111001100000001111010100000001111000110001110101001001101100001100001111011010000000010011100011000111110011000000001100000000000
INCO 388                         0032                          1000010110000001000100001001000100000001100010000001011000001000011000000011000111000010111100100000110001111011100000000000001100000000110010011000101110101101101010111101111111110011101101110001100000001111001100000001111000110001100101000001101100001100001111011010000000010010101011000111110101000000001100010000000
INCO 382                         0033                          1000010111000001000100001000100100000000100010000001001000001000001000000010000011000100111000100001110001111001110001000000001100000000110010011001101110101111101010111101111111110011101101111111000000001111001100000001111000110001110101010001101100001100001111011010100000010010101011000111100101000000001100000000000
FKFO 126                         0034                          0000110000000010100000010000000100000000100100010010101000000101001000000000000100011010100101111101000100010100010110000000011001111101101110000000011000110001100011111000000011101110001111000111001110000000101100011000011000111000000000001011111100011010001000110110000100011111000011110000000011000010000001101011110
FKFO 114                         0035                          0001110000000110100001110000001100000001111100110010010000001111001100000000000100001011001101011101000100011110010110000000011001101101101110000000011000110000110011111000000011101110001111000111001110000000101100011000011000111000000000001011101100011010001000110110000100011111000011110000001011000010000001101100110
INCO 133                         0036                          0001111100000110100000010000000100000000010100010010111000000111001100000000000100001010100101111101000100010100010100000000001000100101001000000000010001000001000010010000000011000100001101100001001100000000101100010000011000111000000000001011101100011010001000110110010100011011000011110000011011000100000001101010110
RFT 55                           0037                          0000110000000001010000010000000100000000010100010010111000001101001000000000000100001111000111011101000100010100100100000000001001100101101110000000011000110000100011110000000011101110001111000110001110000000101100011000011000111000000000001011111100001110000000110110000000011011000011100000000011000000000001100000000
RFT 59                           0038                          0000110100000001010000010000000100000000010100010010101000000101001000000000000100011111000111111101001100011100110110000000011101111101101110000000011000110000100011110000000011001110001101000110001100000010101100010000010000111000000000001011111100001100001000110110001000011011000011100000011011000000000001101010000
RFT 60                           0039                          0000110000000001010000010000000100000000010100010010111100001101001000000000000110011111101111111101101100011110110110000000011101111101101110000000011000110000110011111000000011101110001100000011001110000000101100011000011000111000000000001011101100001000000000110110000000011011000011100000000011000000000000000000000
RFT 5/R15114                     0040                          0000110000000001010000010000000100000000010100010010010000000101001000000000000100001011000111111101001100011011110110000000011000100111001110000000011000110001100010011000000011100110001100000001001110000000101100011000011000111000000000001011001100001000000000110110000000011111000011100000000011000000000001000000000
R 1575                           0041                          0000110000000001010000010000000100000000010100010010011001001101001000000000000110011111101111111101101110011011011110000000011101111101101111000000011000110000110011111000000011101110001111100111001110000010101100011000011000111000000000000011101100001110001000111110001100011111000011110000001000000000000001100000000
R 1529                           0042                          0000110000000001010000010000000100000000010100010010101101001101001000000000000100001111101111111101101110011011110110000000011101111101101111000000011000110000110011111000000011101110001111100111001110000010101100011000011000111000000000001011101100000110000000110110000100011111000011110000001100000000000001101000000
R 1592                           0043                          0000110100000001010000010000000100000000010100010010111101001101001100000000000100001111101111111101101110011011011110000000011101111101101111000000011000110000110011111000000011101110001111100111001110000010101100011000011000111100000000001011101100001110001100110110001100011111000011110000011000000000000001100000000
R 1579                           0044                          0000110000000001010000010000001100000000010100110010111000001111001100000000000110011111101111111101101110011011110110000000011101111101101110000000011000110001100011111000000011101110001111100111001111000010101100011000011000111100000000001011101100001110001100111110001100011111000011110000001000000000000001100000000
INCO 17                          0045                          0000110000000000010000010000000000000000011100110011111100111101001100000000000110001111111111111011101110011011011110000000011100111111001110000000011000100011100111100000000011100111101111100011001110000010101100011110011011101001100000001011110000001111000000111110001100011111000011110000011000000000000001101000100
RFT 35                           0046                          0000110100000010100000100000001000000000100100110111111001001111001100000000000110111111101111111111001110011011110110000000011101111111001111000000011000110000110011111000000111101110001111000111001110000000101100011000011000111000000000001011001100001000000000111110010000011111000011110000011011000000010001101010110
RFT 54                           0047                          0000110100000010100000100000001100000000111100110011111101001111001100000000000110111111101111111101101110011011110110000000011101111111001111000000011000110000110011111000000011101110001111000111001110000000101100011000011000111000000000001011101100001110001000111110001000011111000011110000000011000000000001101110110
RFT 40                           0048                          0000111000000010100000100000001000000000100100010010101000001001001000000000000100111111101111111111001110011110110110000000011101111101101110000000011000110000110011111000000011101110001111000111001110000000101100011000010000111000000000001011001100001000001000111110010000011111000011110000011011000000010001101011110
RFT 48                           0049                          0000110000000010100000100000001000000000100100110010111000001101001000000000000100011111101111111111001110011110110110000000011101111101101111000000011000110001100011111000000011101110001111100111001110000010101100011000011000111000000000001011101100001100001100111110001100011111000011110000011011000001010001100011110
RFT49                            0050                          0000111000000010100000100000001100000000100100110111111001001111001100000000000110111111101111111111001110011110110110000000011101111101101111000000011000110000110111111000000011101110001111100111011110000010101100011000011000111000000000001111001100001100001000110110001100011111000011110000011011000100010001100011110
